央视频道,#genre#
CCTV-1综合,http://60.10.139.113:8801/hls/1/index.m3u8
CCTV-1综合,http://183.11.239.36:808/hls/19/index.m3u8
CCTV-1综合,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV-1综合,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV-1综合,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV-2财经,http://60.10.139.113:8801/hls/2/index.m3u8
CCTV-2财经,http://222.214.208.34:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV-2财经,http://221.7.175.154:8445/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV-2财经,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-2财经,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3综艺,http://60.10.139.113:8801/hls/3/index.m3u8
CCTV-3综艺,http://222.214.208.34:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV-3综艺,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-3综艺,http://120.40.39.246:352/newlive/live/hls/3/live.m3u8
CCTV-3综艺,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-5体育,http://60.10.139.113:8801/hls/5/index.m3u8
CCTV-5体育,http://222.214.208.34:59901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://120.40.39.246:352/newlive/live/hls/5/live.m3u8
CCTV-5体育,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5体育,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd
CCTV-6电影,http://60.10.139.113:8801/hls/6/index.m3u8
CCTV-6电影,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV-6电影,http://222.214.208.34:59901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://183.11.239.36:808/hls/94/index.m3u8
CCTV-6电影,http://120.40.39.246:352/newlive/live/hls/7/live.m3u8
CCTV-6电影,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd
CCTV-8电视剧,http://222.214.208.34:59901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://221.7.175.154:8445/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV-8电视剧,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV-8电视剧,http://120.40.39.246:352/newlive/live/hls/9/live.m3u8
CCTV-8电视剧,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV-8电视剧,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9纪录,http://60.10.139.113:8801/hls/9/index.m3u8
CCTV-9纪录,http://222.214.208.34:59901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://120.40.39.246:352/newlive/live/hls/10/live.m3u8
CCTV-9纪录,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV-9纪录,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-9纪录,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd
CCTV-10科教,http://60.10.139.113:8801/hls/10/index.m3u8
CCTV-10科教,http://222.214.208.34:59901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://221.7.175.154:8445/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV-10科教,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV-10科教,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-10科教,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd
CCTV-11戏曲,http://60.10.139.113:8801/hls/96/index.m3u8
CCTV-11戏曲,http://222.214.208.34:59901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV-11戏曲,http://183.11.239.36:808/hls/29/index.m3u8
CCTV-11戏曲,http://120.202.94.181:9446/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11戏曲,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV-13新闻,http://222.214.208.34:59901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13新闻,http://60.10.139.113:8801/hls/12/index.m3u8
CCTV-13新闻,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV-13新闻,http://221.7.175.154:8445/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV-13新闻,http://120.202.94.181:9446/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13新闻,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV-14少儿,http://222.214.208.34:59901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://60.10.139.113:8801/hls/13/index.m3u8
CCTV-14少儿,http://183.11.239.36:808/hls/32/index.m3u8
CCTV-14少儿,http://120.202.94.181:9446/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14少儿,http://221.7.175.154:8445/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV-14少儿,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV-15音乐,http://60.10.139.113:8801/hls/97/index.m3u8
CCTV-15音乐,http://222.214.208.34:59901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15音乐,http://183.11.239.36:808/hls/102/index.m3u8
CCTV-15音乐,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV-15音乐,http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009
CCTV-15音乐,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16奥运,http://183.11.239.36:808/hls/169/index.m3u8
CCTV-16奥运,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV-16奥运,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-16奥运,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv16hd
CCTV-17农村,http://60.10.139.113:8801/hls/98/index.m3u8
CCTV-17农村,http://183.11.239.36:808/hls/35/index.m3u8
CCTV-17农村,http://221.7.175.154:8445/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
CCTV-17农村,http://120.76.248.139/live/bfgd/4200000204.m3u8
CCTV-17农村,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009
CCTV-17农村,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub

卫视频道,#genre#
湖南卫视,http://60.10.139.113:8801/hls/17/index.m3u8
湖南卫视,http://222.214.208.34:59901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8
湖南卫视,http://183.11.239.36:808/hls/36/index.m3u8
湖南卫视,http://221.7.175.154:8445/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$广西北海联通
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://183.11.239.36:808/hls/37/index.m3u8
浙江卫视,http://120.202.94.181:9446/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,https://bd-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视,http://120.76.248.139/live/bfgd/4200000094.m3u8
江苏卫视,http://183.11.239.36:808/hls/38/index.m3u8
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
江苏卫视,http://38.75.136.137:98/gslb/dsdqpub/jswshd.m3u8?auth=testpub
江苏卫视,http://107.150.60.122/live/jswshd.m3u8
江苏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jswshd
北京卫视,http://60.10.139.113:8801/hls/20/index.m3u8
北京卫视,http://222.214.208.34:59901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
北京卫视,http://183.11.239.36:808/hls/41/index.m3u8
